metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.40758,0.40561,0.36772,0.10775,0.05547,5.52039,1.76907,1,1764658611,,False,1,476b5_00010,2025-12-02_14-56-51,128.55119252204895,128.55119252204895,27955,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,128.55119252204895,1
0.53858,0.51887,0.49256,0.19564,0.0454,4.90437,1.50107,2,1764658646,,False,2,476b5_00010,2025-12-02_14-57-26,33.63162970542908,162.18282222747803,27955,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,162.18282222747803,2
0.38825,0.3765,0.28701,0.06212,0.06701,5.6264,2.09847,3,1764658679,,False,3,476b5_00010,2025-12-02_14-57-59,32.83406734466553,195.01688957214355,27955,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,195.01688957214355,3
0.65798,0.52073,0.54946,0.16721,0.05376,4.03748,1.67993,4,1764658711,,False,4,476b5_00010,2025-12-02_14-58-31,32.03276062011719,227.04965019226074,27955,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,227.04965019226074,4
0.64099,0.56256,0.57079,0.19472,0.05155,4.34309,1.66058,5,1764658743,,False,5,476b5_00010,2025-12-02_14-59-03,32.62460207939148,259.6742522716522,27955,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,259.6742522716522,5
0.58683,0.49934,0.48127,0.11513,0.06023,4.49259,1.88656,6,1764658776,,False,6,476b5_00010,2025-12-02_14-59-36,32.18535494804382,291.85960721969604,27955,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,291.85960721969604,6
0.62991,0.52087,0.55868,0.23215,0.04434,4.01535,1.4181,7,1764658808,,False,7,476b5_00010,2025-12-02_15-00-08,32.26628828048706,324.1258955001831,27955,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,324.1258955001831,7
0.70525,0.63849,0.67651,0.28767,0.04406,3.47151,1.43409,8,1764658840,,False,8,476b5_00010,2025-12-02_15-00-40,32.3632287979126,356.4891242980957,27955,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,356.4891242980957,8
0.71971,0.59043,0.65613,0.25195,0.04745,3.67147,1.45555,9,1764658872,,False,9,476b5_00010,2025-12-02_15-01-12,31.80696702003479,388.2960913181305,27955,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,388.2960913181305,9
0.71636,0.58106,0.64396,0.28085,0.04348,3.39184,1.41993,10,1764658904,,True,10,476b5_00010,2025-12-02_15-01-44,31.696879625320435,419.9929709434509,27955,autodl-container-bfc840bf61-9a26cdb5,172.17.0.4,419.9929709434509,10
